pseudo,lp,wr,kp,gm,vm,champ1,champ2,champ3
WAOLITE,844LP,59.4%,47.9%,449.0,1.0,Zeri,Caitlyn,Ezreal
Jarabo,837LP,54.4%,54.3%,460.0,0.8,Sylas,Maokai,Wukong
VNR LUKA,836LP,55.8%,46.8%,417.0,0.7,Jayce,Syndra,Akali
TwtvJukester lol,834LP,54.0%,54.5%,418.0,1.0,Xerath,Lux,Malphite
febi faker slaya,834LP,55.5%,50.0%,487.0,1.0,Zeri,Kalista,Caitlyn
where is shee,833LP,56.1%,51.5%,447.0,0.9,Viego,Sylas,Yone
FNC Hylissang,833LP,54.1%,54.9%,302.0,2.3,Heimerdinger,Ashe,Rell
CWE Raphael,832LP,52.2%,54.6%,465.0,0.7,Zeri,Varus,Ezreal
niezladupcia123,831LP,59.1%,56.5%,300.0,2.4,Ashe,Nautilus,Annie
NPC reon,830LP,53.8%,52.2%,422.0,0.9,Ezreal,Xayah,Jhin
C9 Veigar V2,830LP,59.2%,50.1%,464.0,0.9,Karthus,Lissandra,Veigar
TTV Regn,830LP,55.2%,50.7%,461.0,1.7,Graves,Taliyah,Viego
AEGIS EIKA,830LP,54.4%,49.2%,437.0,1.0,Ryze,Syndra,Orianna
FUN k3y,829LP,58.9%,53.7%,484.0,1.0,Zeri,Caitlyn,Varus
LiL TommyG,829LP,52.6%,64.5%,314.0,2.6,Bard,Nautilus,Karma
NegaÅ Smith,829LP,54.7%,52.3%,413.0,1.1,Viego,Wukong,Maokai
IW Elramir,826LP,51.3%,55.0%,421.0,1.1,Maokai,Kindred,Ornn
GK CR7,826LP,58.7%,54.7%,397.0,0.9,Elise,Sejuani,Lee Sin
Barkoon,825LP,53.5%,58.9%,434.0,1.1,Nidalee,Wukong,Lee Sin
H3LLRA1SER,824LP,54.2%,48.0%,440.0,0.9,Draven,Varus,Caitlyn
xLinayaa,824LP,70.4%,41.1%,482.0,0.7,Jax,Tryndamere,K'Sante
will improve,822LP,55.4%,49.0%,429.0,0.7,Taliyah,Yone,Ryze
no lulu ff15,820LP,57.6%,56.8%,412.0,1.4,Twitch,Soraka,Malphite
ÎÎTMAN,819LP,55.7%,56.4%,408.0,1.3,Twitch,Ashe,Nami
jkjkjkjkjkjkj,817LP,53.0%,44.7%,421.0,0.7,Syndra,Tryndamere,Yone
SK Exakick,816LP,58.1%,50.4%,493.0,1.0,Caitlyn,Varus,Draven
messi sup acc,816LP,53.9%,57.7%,313.0,2.4,Pyke,Nami,Heimerdinger
Roulette,816LP,52.5%,54.2%,407.0,0.9,Maokai,Kindred,Evelynn
Boring cycle0,815LP,52.2%,50.2%,443.0,0.6,Aphelios,Zeri,Samira
Drututt,814LP,52.2%,39.6%,460.0,0.6,Akshan,Camille,Zeri
Xixauxas,813LP,52.4%,59.3%,316.0,2.5,Pyke,Ashe,Karma
dddddd,813LP,54.1%,57.3%,398.0,1.1,Maokai,Jarvan IV,Wukong
Badlulu fan,812LP,56.0%,57.0%,454.0,1.3,Graves,Nidalee,Elise
Quadratum,811LP,55.2%,44.8%,410.0,0.8,Riven,Twitch,Vayne
acze666,811LP,53.7%,50.6%,488.0,0.6,Draven,Twitch,Kog'Maw
balkanzacc29,810LP,54.7%,37.4%,410.0,1.0,K'Sante,Gwen,Urgot
BANJALUKAPRODIGY,810LP,57.2%,59.6%,299.0,2.0,Karma,Nami,Ashe
bbchungus,810LP,54.2%,43.9%,419.0,0.7,Syndra,Ryze,Viktor
Zaweka,810LP,54.9%,35.6%,414.0,0.6,Fiora,Kennen,Camille
darkchri99,809LP,53.1%,56.5%,312.0,1.9,Lux,Ashe,Nautilus
DRG Louis,809LP,53.7%,43.7%,416.0,0.9,Zoe,Syndra,Ezreal
ReturnOfTheÎing,809LP,55.0%,57.7%,302.0,2.3,Heimerdinger,Nami,Renata Glasc
Envy Carry,808LP,51.6%,46.9%,442.0,0.8,Yasuo,Gangplank,Ryze
2035 TCL Champ,808LP,58.3%,42.1%,469.0,0.8,Akshan,Tryndamere,Jax
Infoneral,807LP,55.2%,55.5%,294.0,2.5,Lulu,Ashe,Rakan
PainfÏl,807LP,52.8%,50.2%,441.0,0.8,Sylas,Zed,Syndra
FNC Nafkelah,807LP,53.5%,44.9%,438.0,0.9,Irelia,Jayce,Ryze
Vertigo0,806LP,52.8%,41.8%,463.0,0.7,Gangplank,Fiora,Riven
koprmid,805LP,57.5%,46.6%,417.0,0.8,Taliyah,Tristana,Irelia
FUT StarScreen,805LP,52.4%,42.0%,441.0,0.8,K'Sante,Tryndamere,Fiora
NattyNatt,802LP,51.7%,47.2%,496.0,0.8,Rengar,Dr. Mundo,Kassadin
me so Lucky,801LP,56.0%,52.7%,468.0,0.8,Zeri,Ezreal,Kalista
INT Nord,800LP,57.6%,55.0%,383.0,0.7,Nunu & Willump,Maokai,Elise
Varry,800LP,54.7%,52.7%,421.0,1.0,Varus,Seraphine,Caitlyn
EBL 2023 MVP,800LP,62.9%,52.0%,459.0,0.7,Varus,Ezreal,Xayah
Thaybot,799LP,54.2%,51.9%,418.0,1.1,Vi,Wukong,Elise
Tazaku,798LP,56.6%,53.0%,476.0,1.0,Lucian,Varus,Xayah
Î¤reasure Hunter,798LP,52.1%,46.5%,461.0,0.7,Talon,Irelia,Yone
UNTIL I WIN1,797LP,56.0%,47.7%,443.0,0.9,Caitlyn,Varus,Ezreal
NPC mid,796LP,52.1%,47.5%,377.0,0.7,Galio,Jhin,Malphite
Gebu,792LP,58.9%,42.6%,487.0,0.5,Kled,Kennen,Jayce
VIV Joinze,792LP,54.8%,55.8%,431.0,1.0,Nidalee,Kindred,Maokai
KC Leona,791LP,54.2%,55.6%,316.0,2.1,Nautilus,Ashe,Heimerdinger
Tiago Rodrigues,790LP,54.9%,60.4%,329.0,2.8,Ashe,Nautilus,Heimerdinger
cainiao1hao,790LP,50.9%,36.1%,431.0,0.8,Jax,Fiora,K'Sante
Gigachadplayer69,789LP,62.8%,50.1%,470.0,0.6,Zeri,Jhin,Caitlyn
peppe capitano,789LP,56.2%,42.1%,427.0,0.8,Sylas,Akali,Yone
JÃ¤ck Rackham,788LP,52.9%,46.1%,436.0,1.0,Jax,Jayce,K'Sante
YNW MELLYY,786LP,58.6%,53.4%,438.0,1.3,Wukong,Graves,Viego
another round,785LP,52.6%,42.8%,493.0,0.7,Gangplank,Jayce,Sion
ViV Twelve,785LP,55.8%,38.6%,422.0,0.6,Fiora,K'Sante,Riven
lIIllIlllIIllllI,783LP,53.3%,48.1%,447.0,0.8,Riven,Nidalee,Yasuo
zlaksd,782LP,55.6%,55.7%,313.0,2.3,Karma,Rakan,Nautilus
Irode,782LP,58.2%,49.4%,418.0,1.1,Elise,Sejuani,Vi
Lofti,782LP,53.0%,48.4%,404.0,0.7,Taliyah,Ryze,Jhin
Tokimitsu Aoshi,781LP,56.4%,49.7%,468.0,1.0,Ezreal,Miss Fortune,Caitlyn
ure wonderful,781LP,57.2%,50.4%,433.0,0.7,Varus,Ezreal,Jhin
no limits1,780LP,52.4%,38.1%,387.0,1.0,Akshan,K'Sante,Darius
TF YellowMoonkey,779LP,53.6%,49.7%,423.0,0.9,Jhin,Caitlyn,Sivir
FÎ±keTaxi,778LP,56.5%,60.8%,447.0,1.1,Lee Sin,Elise,Viego
TTV Poliko,778LP,50.9%,45.6%,403.0,0.8,Anivia,Cassiopeia,Orianna
Palacsinta2,777LP,53.6%,57.2%,307.0,2.2,Janna,Ashe,Heimerdinger
belt ginger army,777LP,60.1%,48.8%,448.0,0.8,Zed,Zoe,Rek'Sai
SkÃ½linÃ¨,777LP,53.2%,51.0%,374.0,1.2,Pantheon,Wukong,Pyke
MetroArcher,776LP,54.1%,49.9%,434.0,0.9,Caitlyn,Lucian,Varus
OIADSFU023IAFG0U,775LP,54.2%,45.3%,429.0,0.8,Ryze,Irelia,Aurelion Sol
SPOLFCEI,774LP,51.5%,55.5%,489.0,1.0,Yasuo,Ezreal,Lucian
MBS1,774LP,57.1%,54.7%,453.0,1.3,Ezreal,Caitlyn,Jhin
twtv ChadKarthus,773LP,64.3%,62.2%,467.0,0.7,Karthus,Ziggs,Soraka
TTV NYDAREDL0L,773LP,53.4%,44.9%,426.0,0.7,Akshan,Kassadin,Twitch
TwitchTV HaderrQ,772LP,52.9%,41.1%,430.0,0.6,Qiyana,Karma,Akshan
sena fan 123,772LP,53.3%,40.5%,451.0,0.6,Vladimir,Jayce,Viktor
Unshackled Beast,772LP,52.3%,54.0%,406.0,1.0,Viego,Wukong,Vi
NORDKASING,772LP,54.2%,58.2%,308.0,2.4,Ashe,Nami,Karma
Qnoxs,772LP,51.3%,57.3%,352.0,1.7,Senna,Twitch,Nami
Scorth,770LP,52.4%,55.2%,476.0,1.0,Zeri,Ezreal,Samira
ANDARlEL,768LP,53.5%,53.9%,518.0,0.8,Zeri,Caitlyn,Kalista
europa life kiko,768LP,55.4%,49.5%,471.0,0.7,Tristana,Lissandra,Cassiopeia
ok i care,768LP,52.4%,50.2%,417.0,0.8,Wukong,Viego,Kayn
Alfa Bet,29LP,54.5%,49.8%,366.0,1.1,Maokai,Elise,Vi
YÃ¹mÃ¨n nuhÎ±i,764LP,57.0%,56.2%,472.0,0.5,Hecarim,Mordekaiser,Viego
2024thief,760LP,65.2%,56.3%,326.0,2.7,Pyke,Rell,Nami
SUPERJUUZOU,753LP,53.2%,38.3%,435.0,0.7,Jax,Gnar,Renekton
NNOne Piece,826LP,60.0%,56.5%,431.0,1.1,Elise,Zac,Maokai
Timon,775LP,53.7%,53.9%,436.0,0.7,Bel'Veth,Maokai,Zac
Ferrettt,772LP,52.9%,55.5%,445.0,1.3,Viego,Vi,Kindred
Saint Pabloo,767LP,52.9%,48.0%,459.0,0.8,Jayce,Ryze,Sylas
g4444viper9,767LP,54.1%,50.1%,441.0,0.8,Lucian,Kai'Sa,Caitlyn
Stop hesitating,767LP,59.3%,48.4%,447.0,0.6,Kai'Sa,Ezreal,Varus
RRubyLOL,766LP,60.4%,49.0%,437.0,1.0,Jayce,Ezreal,Syndra
NKBI777,764LP,55.3%,55.4%,429.0,1.1,Wukong,Elise,Maokai
